topic,Premise,Conclusion,Validity,Validity-Confidence,Novelty,Novelty-Confidence
Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Terrorists will not change tactics of torture.,-1,majority,1,majority
Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Terrorists would not be threatened by a Western policy of torture,1,very confident,1,very confident
Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.","Terrorists are going to kidnap, torture, and kill Western troops regardless of whether the West",-1,majority,-1,majority
Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Saddam's regime posed a general menace to international law and security,-1,very confident,-1,very confident
Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.",Tortured POWs are not tortured by other states,-1,very confident,-1,majority
Torture,"No Western nation is performing torture on prisoners of war (POWs) from other sovereign states. If they are performing torture, it is on terrorists or ""enemy combatants"", which will not cause other states to react in any way regarding the treatment of POWs.",Torture on POWs is not a form of torture,-1,very confident,-1,majority
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.",Torture is dehumanizing.,1,very confident,-1,very confident
Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Terrorists won't be stopped by a ban on torture,1,majority,-1,confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Torture has a brutalizing, dehumanizing effect",1,very confident,-1,very confident
Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",Terrorists are ticking time bombs.,-1,very confident,-1,very confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.",Torture dehumanizes the torturer,1,very confident,-1,very confident
Torture,"While some argue that the ""ticking time-bomb"" is a fictitious experiment that impossibly requires perfect information, it need not be based on perfect information. A leader can justifiably determine that torture is the best course of action on the existence of reasonable probabilities that a ""ticking time bomb"" exists and threatens a certain amount of lives, and that a suspect retains information that could save those lives and has a good chance of being extracted through torture.","Torture is based on probabilities of ""ticking time bomb""",0,defeasible,0,defeasible
Torture,"While some argue that the ""ticking time-bomb"" is a fictitious experiment that impossibly requires perfect information, it need not be based on perfect information. A leader can justifiably determine that torture is the best course of action on the existence of reasonable probabilities that a ""ticking time bomb"" exists and threatens a certain amount of lives, and that a suspect retains information that could save those lives and has a good chance of being extracted through torture.",Leaders must be afforded the flexibility to judge that torture is the most probable way to save hundreds of thousands,1,very confident,1,very confident
Torture,"While some argue that the ""ticking time-bomb"" is a fictitious experiment that impossibly requires perfect information, it need not be based on perfect information. A leader can justifiably determine that torture is the best course of action on the existence of reasonable probabilities that a ""ticking time bomb"" exists and threatens a certain amount of lives, and that a suspect retains information that could save those lives and has a good chance of being extracted through torture.",US intervention in Libya was in national interests,-1,very confident,-1,very confident
Torture,"In an October 2006 BBC survey of 27,000 people in 25 countries, more than one out of three people in nine of those countries, including America, considered a degree of torture acceptable if it saved lives.",Many countries support torture.,0,defeasible,0,defeasible
Torture,"In an October 2006 BBC survey of 27,000 people in 25 countries, more than one out of three people in nine of those countries, including America, considered a degree of torture acceptable if it saved lives.",Torture is justified if it saves lives,-1,majority,-1,majority
Torture,"In an October 2006 BBC survey of 27,000 people in 25 countries, more than one out of three people in nine of those countries, including America, considered a degree of torture acceptable if it saved lives.",Torture is acceptable in many countries,-1,majority,-1,majority
Torture,"In an October 2006 BBC survey of 27,000 people in 25 countries, more than one out of three people in nine of those countries, including America, considered a degree of torture acceptable if it saved lives.","Torture ""to save lives"" has a substantial body of support among publics:",1,very confident,1,very confident
Torture,"In an October 2006 BBC survey of 27,000 people in 25 countries, more than one out of three people in nine of those countries, including America, considered a degree of torture acceptable if it saved lives.",Year-round schools have same overall schooling and vacation time.,-1,very confident,-1,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.",Ticking time bombs are possible,1,very confident,-1,majority
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.","The ""ticking time bomb"" scenario can happen.",1,very confident,-1,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.","The ""ticking time bomb"" scenario could occur",1,very confident,-1,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.","A one-in-a-million probability of the ""ticking time bomb"" occurring is sufficient to justify",1,very confident,1,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",Torture is always wrong,1,very confident,-1,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.",A military tribunal would have been faster in case of KSM.,-1,confident,-1,majority
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Trying terrorists risks releasing intelligence, costing lives",-1,very confident,-1,very confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Torture has a brutalizing, dominating effect.",1,very confident,-1,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",Many Iraqis support the continued presence of US forces,-1,very confident,-1,very confident
Torture,"While some argue that the ""ticking time-bomb"" is a fictitious experiment that impossibly requires perfect information, it need not be based on perfect information. A leader can justifiably determine that torture is the best course of action on the existence of reasonable probabilities that a ""ticking time bomb"" exists and threatens a certain amount of lives, and that a suspect retains information that could save those lives and has a good chance of being extracted through torture.","A ""ticking time bomb"" can be manipulated to save lives",-1,very confident,-1,majority
Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",Terrorists can be safely tortured,-1,confident,-1,majority
Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",Pain of torture is worth suffering,-1,majority,1,majority
Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",The infliction of mere pain on an evil-minded terrorist to save millions of innocent lives is an ethical,-1,majority,1,majority
Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",The war in Libya is not illegal under international law,-1,confident,-1,majority
Torture,"The Geneva Convention applies only to Prisoners of War whom are troops of nations that have both signed and abide by the Geneva convention. This does not apply to terrorists who have not state affiliation, have no signatory connection to the Geneva Convention, and who willingly violate the rules of war on the Geneva Convention.","Friends can become enemies, and vice versa.",-1,very confident,-1,very confident
Torture,"The Geneva Convention applies only to Prisoners of War whom are troops of nations that have both signed and abide by the Geneva convention. This does not apply to terrorists who have not state affiliation, have no signatory connection to the Geneva Convention, and who willingly violate the rules of war on the Geneva Convention.",Geneva Conventions only apply to POWs who sign it,1,majority,-1,very confident
Torture,"The Geneva Convention applies only to Prisoners of War whom are troops of nations that have both signed and abide by the Geneva convention. This does not apply to terrorists who have not state affiliation, have no signatory connection to the Geneva Convention, and who willingly violate the rules of war on the Geneva Convention.",Geneva Convention applies only to prisoners of war.,-1,majority,-1,majority
Torture,"The Geneva Convention applies only to Prisoners of War whom are troops of nations that have both signed and abide by the Geneva convention. This does not apply to terrorists who have not state affiliation, have no signatory connection to the Geneva Convention, and who willingly violate the rules of war on the Geneva Convention.",Geneva Convention does not apply to terrorists.,1,majority,-1,very confident
Torture,"The Geneva Convention applies only to Prisoners of War whom are troops of nations that have both signed and abide by the Geneva convention. This does not apply to terrorists who have not state affiliation, have no signatory connection to the Geneva Convention, and who willingly violate the rules of war on the Geneva Convention.",Terrorists have no Geneva rights,1,majority,-1,very confident
Trade vs aid,"or even for ensuring that the process is objective and transparent. Without systemic correlation between allocations and poverty measurements, for example, large quantities of aid continue to go to countries with small numbers of people in poverty."" [UN ECOSOC 2008b, International Development Association 2007; published in International Development Cooperation Today - Emerging Trends and Debates, 2008]",Aid allocations are often too small to avoid corruption,-1,confident,-1,confident
Trade vs aid,"or even for ensuring that the process is objective and transparent. Without systemic correlation between allocations and poverty measurements, for example, large quantities of aid continue to go to countries with small numbers of people in poverty."" [UN ECOSOC 2008b, International Development Association 2007; published in International Development Cooperation Today - Emerging Trends and Debates, 2008]",Trade and development aid is not transparent,0,defeasible,0,defeasible
Trade vs aid,"or even for ensuring that the process is objective and transparent. Without systemic correlation between allocations and poverty measurements, for example, large quantities of aid continue to go to countries with small numbers of people in poverty."" [UN ECOSOC 2008b, International Development Association 2007; published in International Development Cooperation Today - Emerging Trends and Debates, 2008]",Humans owe a duty of care to our animal cousins,-1,very confident,-1,very confident
Trade vs aid,"Trade does not exist in a vacuum. It needs a wider infrastructure to support it, e.g. roads, railways, ports, education to produce capable civil servants to administer trading rules, etc. Without foreign aid, developing countries are not able to develop this kind of support, and so cannot participate effectively in international trade. Aid is not always in the form of money - it may also be given through expert advisors who help countries prepare for the challenges of globalisation.",Aid is needed to enable trade.,1,majority,-1,majority
Trade vs aid,"Trade does not exist in a vacuum. It needs a wider infrastructure to support it, e.g. roads, railways, ports, education to produce capable civil servants to administer trading rules, etc. Without foreign aid, developing countries are not able to develop this kind of support, and so cannot participate effectively in international trade. Aid is not always in the form of money - it may also be given through expert advisors who help countries prepare for the challenges of globalisation.",Trade is only as good as the infrastructure.,1,very confident,1,very confident
Trade vs aid,"Trade does not exist in a vacuum. It needs a wider infrastructure to support it, e.g. roads, railways, ports, education to produce capable civil servants to administer trading rules, etc. Without foreign aid, developing countries are not able to develop this kind of support, and so cannot participate effectively in international trade. Aid is not always in the form of money - it may also be given through expert advisors who help countries prepare for the challenges of globalisation.",Trade does not exist in a vacuum.,1,very confident,-1,very confident
Trade vs aid,"Trade does not exist in a vacuum. It needs a wider infrastructure to support it, e.g. roads, railways, ports, education to produce capable civil servants to administer trading rules, etc. Without foreign aid, developing countries are not able to develop this kind of support, and so cannot participate effectively in international trade. Aid is not always in the form of money - it may also be given through expert advisors who help countries prepare for the challenges of globalisation.",Trade requires investment first.,1,majority,-1,majority
Trade vs aid,"or even for ensuring that the process is objective and transparent. Without systemic correlation between allocations and poverty measurements, for example, large quantities of aid continue to go to countries with small numbers of people in poverty."" [UN ECOSOC 2008b, International Development Association 2007; published in International Development Cooperation Today - Emerging Trends and Debates, 2008]","""There is currently no international system for assessing whether or not official development assistance contributions are matching programme country needs,",0,defeasible,0,defeasible
Trade vs aid,"or even for ensuring that the process is objective and transparent. Without systemic correlation between allocations and poverty measurements, for example, large quantities of aid continue to go to countries with small numbers of people in poverty."" [UN ECOSOC 2008b, International Development Association 2007; published in International Development Cooperation Today - Emerging Trends and Debates, 2008]",There is no good system for measuring poverty,-1,confident,-1,confident
Trade vs aid,"Trade does not exist in a vacuum. It needs a wider infrastructure to support it, e.g. roads, railways, ports, education to produce capable civil servants to administer trading rules, etc. Without foreign aid, developing countries are not able to develop this kind of support, and so cannot participate effectively in international trade. Aid is not always in the form of money - it may also be given through expert advisors who help countries prepare for the challenges of globalisation.",Wave power is only viable where conditions are right,-1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,"Others complain that Mr. Mohammed might take advantage of quirks of the criminal justice system and go free. That’s highly unlikely. First, he has already confessed to the crime; and, given the zero acquittal rate for terrorists in New York previously, any anxiety about a “not guilty” verdict seems unwarranted.",Trying 9/11 suspects is unlikely to result in a guilty verdict,-1,very confident,-1,majority
Trying 9/11 terror suspects in NYC courts,"Others complain that Mr. Mohammed might take advantage of quirks of the criminal justice system and go free. That’s highly unlikely. First, he has already confessed to the crime; and, given the zero acquittal rate for terrorists in New York previously, any anxiety about a “not guilty” verdict seems unwarranted.",It is highly unlikely that Hamas will go free.,1,majority,-1,majority
Trying 9/11 terror suspects in NYC courts,"Others complain that Mr. Mohammed might take advantage of quirks of the criminal justice system and go free. That’s highly unlikely. First, he has already confessed to the crime; and, given the zero acquittal rate for terrorists in New York previously, any anxiety about a “not guilty” verdict seems unwarranted.",KSM will almost certainly be convicted in NY civilian courts,1,majority,1,majority
Trying 9/11 terror suspects in NYC courts,"Others complain that Mr. Mohammed might take advantage of quirks of the criminal justice system and go free. That’s highly unlikely. First, he has already confessed to the crime; and, given the zero acquittal rate for terrorists in New York previously, any anxiety about a “not guilty” verdict seems unwarranted.","Humans have rights, like animals",-1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,"The obligation to stand trial in an open court of law is a defeat for the alleged mastermind of the 9/11 attacks, who once expressed a desire to plead guilty in the military commission system established in Guantánamo. Because the trial venue has been discredited around the Islamic world -- and among U.S. allies -- fulfilling his wish would have solidified his status as martyr on behalf of a distorted version of Islam.",Military tribunals are a propaganda win for terrorists,1,confident,0,defeasible
Trying 9/11 terror suspects in NYC courts,"everyone knows that whatever the outcome of the trial, KSM will never walk free. He will spend the rest of his natural life in U.S. custody. Which makes the proceedings a farcical show trial from the very beginning.",9/11 suspect KSM would never walk free.,1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,"everyone knows that whatever the outcome of the trial, KSM will never walk free. He will spend the rest of his natural life in U.S. custody. Which makes the proceedings a farcical show trial from the very beginning.",KSM will never walk free.,1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,"everyone knows that whatever the outcome of the trial, KSM will never walk free. He will spend the rest of his natural life in U.S. custody. Which makes the proceedings a farcical show trial from the very beginning.",KSM's future in US custody is a farce,-1,confident,1,majority
Trying 9/11 terror suspects in NYC courts,"The obligation to stand trial in an open court of law is a defeat for the alleged mastermind of the 9/11 attacks, who once expressed a desire to plead guilty in the military commission system established in Guantánamo. Because the trial venue has been discredited around the Islamic world -- and among U.S. allies -- fulfilling his wish would have solidified his status as martyr on behalf of a distorted version of Islam.",Guantanamo detainees should be tried in open court,1,very confident,-1,majority
Trying 9/11 terror suspects in NYC courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",The trial of the 1993 WTC bomber was criticized,-1,very confident,-1,majority
Trying 9/11 terror suspects in NYC courts,"Others complain that Mr. Mohammed might take advantage of quirks of the criminal justice system and go free. That’s highly unlikely. First, he has already confessed to the crime; and, given the zero acquittal rate for terrorists in New York previously, any anxiety about a “not guilty” verdict seems unwarranted.","The chances of a ""not guilty"" verdict are low",1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",Trying 9/11 terror suspects in NYC courts is appropriate weapon,1,majority,-1,very confident
Trying 9/11 terror suspects in NYC courts,"The obligation to stand trial in an open court of law is a defeat for the alleged mastermind of the 9/11 attacks, who once expressed a desire to plead guilty in the military commission system established in Guantánamo. Because the trial venue has been discredited around the Islamic world -- and among U.S. allies -- fulfilling his wish would have solidified his status as martyr on behalf of a distorted version of Islam.",Many people depend on veal farming.,-1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Wind energy is free.,-1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Majority of Americans are opposed to civilian trial of terrorists.,1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Public opinion does not support bringing Mohammed to justice,-1,very confident,-1,majority
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Most Americans do not want to see 9/11 suspects tried in federal courts,1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Most Americans don't support a trial of 9/11 terrorists,1,majority,-1,majority
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Completing a hard video game makes you feel accomplished.,-1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Trying terrorists in NY requires costly security,1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Guantanamo detainees are a burden on government,1,majority,1,majority
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Terror suspects in NYC courts will be costly,1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,"The obligation to stand trial in an open court of law is a defeat for the alleged mastermind of the 9/11 attacks, who once expressed a desire to plead guilty in the military commission system established in Guantánamo. Because the trial venue has been discredited around the Islamic world -- and among U.S. allies -- fulfilling his wish would have solidified his status as martyr on behalf of a distorted version of Islam.",Trial in open court would have strengthened terrorist convictions.,-1,confident,0,defeasible
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Trying 9/11 suspects in NYC would be costly,1,very confident,-1,very confident
Trying 9/11 terror suspects in NYC courts,"The politics of the trial stems from Obama’s decision to announce the closing of Guantanamo before he had lined up takers for its prisoners. Now with unemployment at 10.2 percent, he could hold an auction for the officials in Illinois, Montana, Michigan and Colorado clamoring for the detainees to fill their underused prisons. The politician who wins the detainees isn’t going to get booted from office. He’s going to get a parade.",Trying and imprisoning terrorists can create US jobs,1,very confident,1,majority
Trying 9/11 terror suspects in NYC courts,"The politics of the trial stems from Obama’s decision to announce the closing of Guantanamo before he had lined up takers for its prisoners. Now with unemployment at 10.2 percent, he could hold an auction for the officials in Illinois, Montana, Michigan and Colorado clamoring for the detainees to fill their underused prisons. The politician who wins the detainees isn’t going to get booted from office. He’s going to get a parade.",Guantanamo detainees are a political issue,1,majority,-1,majority
Trying 9/11 terror suspects in NYC courts,"The politics of the trial stems from Obama’s decision to announce the closing of Guantanamo before he had lined up takers for its prisoners. Now with unemployment at 10.2 percent, he could hold an auction for the officials in Illinois, Montana, Michigan and Colorado clamoring for the detainees to fill their underused prisons. The politician who wins the detainees isn’t going to get booted from office. He’s going to get a parade.",Detainees can be sold to fill empty prisons,1,very confident,-1,majority
Trying 9/11 terror suspects in NYC courts,"The politics of the trial stems from Obama’s decision to announce the closing of Guantanamo before he had lined up takers for its prisoners. Now with unemployment at 10.2 percent, he could hold an auction for the officials in Illinois, Montana, Michigan and Colorado clamoring for the detainees to fill their underused prisons. The politician who wins the detainees isn’t going to get booted from office. He’s going to get a parade.",Politics of trial over Guantanamo are driven by greed,0,defeasible,1,majority
